ic,traj,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
1,20,5,0.5817883,0.1,0.2555985,9.771085,0.6192747,-0.28981417,21.117235,-10.430429,42.34851,-36.215584
1,21,5,0.952404,0.1,0.15736048,22.007914,0.28617886,0.042880926,33.591274,-27.318285,22.6607,3.7231548
1,22,5,0.9064469,0.1,0.15736048,21.563828,0.28030124,0.037841126,32.728867,-26.806423,22.546852,3.601171
1,23,5,0.9380531,0.1,0.15736048,21.821932,0.28702015,0.041303523,33.351852,-27.06538,22.830303,3.9357355
1,24,5,0.9136517,0.1,0.15736048,21.609417,0.27984166,0.03821981,32.901325,-26.756472,22.559954,3.758029
1,25,5,0.9418941,0.1,0.23990212,18.5587,0.58400065,0.31855574,29.485094,-22.232988,43.334175,36.985558
1,26,5,0.9379762,0.1,0.23990212,18.622232,0.58228385,0.31467375,29.397367,-22.258005,43.29519,36.884182
1,27,5,0.93044716,0.1,0.23990212,18.304039,0.5909044,0.3201787,29.189571,-21.868563,43.592667,37.203327
1,28,5,0.9398252,0.1,0.23990212,18.574646,0.589793,0.3187356,29.404587,-22.191744,43.449,37.14997
1,29,5,0.7190448,0.1,0.34142074,6.6770988,0.8215949,0.48390833,18.749166,-2.968343,57.182186,52.66202
1,30,5,0.7283422,0.1,0.34142074,6.9758196,0.8197985,0.48743242,19.12478,-3.7418704,56.92156,52.448273
1,31,5,0.7090099,0.1,0.34142074,6.686655,0.81259686,0.48361626,18.47507,-3.0343184,57.03302,52.538067
1,32,5,0.73105645,0.1,0.34142074,7.003371,0.8169545,0.4871525,19.12274,-3.7373805,57.261517,52.63179
1,33,5,0.77823716,0.1,0.30057293,15.620718,0.60127085,0.36389953,27.224865,20.820896,42.36022,35.944206
1,34,5,0.7785239,0.1,0.30057293,15.132866,0.61406976,0.3708151,27.34987,20.220793,41.91153,35.693714
1,35,5,0.77811766,0.1,0.30057293,15.809675,0.59732395,0.36259675,27.50957,21.129309,41.386005,35.452778
1,36,5,0.7784448,0.1,0.30057293,15.245998,0.61196387,0.37245056,27.488794,20.405506,41.710644,35.689285
1,37,5,0.8517233,0.1,0.23291035,20.309786,0.3334023,0.19589247,32.704685,27.610773,25.728264,14.04112
1,38,5,0.84495133,0.1,0.23291035,19.72978,0.34578934,0.20144434,32.503372,26.854702,26.17237,14.346748
1,39,5,0.838549,0.1,0.23291035,20.099688,0.3294853,0.19426085,32.271828,27.266739,26.258064,14.279512
1,40,5,0.8412685,0.1,0.23291035,19.665798,0.34404004,0.20205365,32.22204,26.686543,26.740461,14.609989
1,41,5,0.5525752,0.1,0.16139714,14.095734,0.18587656,0.017933203,26.322445,19.536575,23.673813,-7.0551124
1,42,5,0.5774633,0.1,0.16139714,14.086836,0.19223677,0.022800881,26.919825,19.543283,23.803387,-6.7816143
1,43,5,0.5640031,0.1,0.16139714,14.081548,0.18455586,0.019195644,26.651112,19.568283,23.552896,-7.074333
1,44,5,0.5629208,0.1,0.16139714,14.070196,0.19121371,0.02110632,26.725685,19.579727,23.013565,-7.1145635
1,45,5,0.37758017,0.1,0.14446864,2.7593129,0.33017543,-0.15087456,18.387053,0.68953264,33.13307,-24.993021
1,46,5,0.3775014,0.1,0.14446864,2.705915,0.34106076,-0.15659489,18.331934,1.1279614,33.213978,-24.7006
1,47,5,0.38383108,0.1,0.14446864,2.7635446,0.32902533,-0.14958356,18.6339,0.57309425,33.316414,-24.69065
1,48,5,0.37738496,0.1,0.14446864,2.7043493,0.34482738,-0.1600069,18.55583,1.317769,33.127987,-24.77209
1,49,5,0.5421032,0.1,0.13045442,12.541165,0.22770642,-0.09151896,24.211687,-14.908178,27.679163,-16.716513
1,50,5,0.4963296,0.1,0.13045442,11.882356,0.23688179,-0.10059476,23.04494,-14.159473,27.485022,-16.676758
1,51,5,0.5364889,0.1,0.13045442,12.641616,0.22663775,-0.09106194,24.190554,-14.988594,27.138027,-16.60133
1,52,5,0.4893226,0.1,0.13045442,11.721993,0.23843007,-0.10231195,22.910807,-13.91556,27.047127,-16.714632
1,53,5,0.548327,0.1,0.15317877,13.664596,0.13981275,-0.0056414315,25.265314,-16.51462,22.45139,-6.4937234
1,54,5,0.5057455,0.1,0.15317877,13.021767,0.12956652,-0.01362852,24.168709,-15.756662,22.69504,-6.660567
1,55,5,0.56022096,0.1,0.15317877,13.79781,0.14123149,-0.0060217855,25.588823,-16.644373,22.467527,-6.6271973
1,56,5,0.5146435,0.1,0.15317877,13.228523,0.12912475,-0.014532,24.451365,-16.008572,21.844477,-6.9549503
1,57,5,0.35262677,0.1,0.20334429,6.2982283,0.1848427,0.09409003,20.269032,-6.934326,21.174574,3.4291067
1,58,5,0.32305515,0.1,0.20334429,5.878173,0.166661,0.08629162,19.313581,-6.4117923,21.221218,3.2083108
1,59,5,0.34170336,0.1,0.20334429,6.1498666,0.18382657,0.092039764,19.965425,-6.7204714,21.428677,3.376466
1,60,5,0.31717053,0.1,0.20334429,5.8685427,0.16937116,0.08803894,19.259785,-6.3297157,21.303616,3.3207407
1,61,5,0.39500684,0.1,0.26422393,8.699663,0.30927297,0.1919171,21.93056,12.5100155,23.701908,11.474057
1,62,5,0.37916207,0.1,0.26422393,8.560712,0.30113143,0.18802562,21.442404,12.314685,23.605545,11.43875
1,63,5,0.38662246,0.1,0.26422393,8.636606,0.30416608,0.18877897,21.669184,12.392594,23.38832,11.413027
1,64,5,0.3756113,0.1,0.26422393,8.335237,0.3044709,0.19020575,21.299437,11.991177,23.080778,11.225793
1,65,5,0.53308916,0.1,0.298674,13.515058,0.38577408,0.24221843,25.32739,18.68549,25.395754,15.489259
1,66,5,0.5192631,0.1,0.298674,13.112626,0.39397657,0.2467931,24.981842,18.164986,25.23879,15.4841385
1,67,5,0.5310758,0.1,0.298674,13.759917,0.3776714,0.23949149,25.21834,18.948807,25.087034,15.508175
1,68,5,0.5169276,0.1,0.298674,13.079087,0.39910802,0.24816206,24.905952,18.084785,24.96835,15.558762
1,69,5,0.40977025,0.1,0.305294,10.228723,0.41580907,0.2576479,21.72218,14.260821,25.60693,16.669334
1,70,5,0.40308863,0.1,0.305294,9.413181,0.43749085,0.2685211,21.538692,13.210554,25.670925,16.75926
1,71,5,0.4009664,0.1,0.305294,10.070847,0.4190975,0.25746074,21.409983,14.019335,25.703161,16.760658
1,72,5,0.40500998,0.1,0.305294,9.359929,0.4328094,0.26498684,21.46606,13.090362,25.765045,16.923473
1,73,5,0.26460412,0.1,0.28519693,1.68756,0.38876015,0.22961724,16.791552,0.2927391,23.596243,13.860179
1,74,5,0.29122257,0.1,0.28519693,2.0305276,0.4107653,0.24128152,17.91175,-0.44815496,23.273834,13.76004
1,75,5,0.26884085,0.1,0.28519693,1.7211936,0.389705,0.22967574,17.277954,0.20906545,22.55397,13.2921915
1,76,5,0.29110143,0.1,0.28519693,1.9515392,0.40624434,0.23936106,18.211155,-0.24995653,22.473188,13.263692
1,77,5,0.29356357,0.1,0.21955222,6.276397,0.19770834,0.100767,18.930578,-6.8821826,18.37541,-3.989528
1,78,5,0.31397966,0.1,0.21955222,6.5354214,0.21238767,0.10624456,19.645103,-7.1586304,18.317598,-4.2062697
1,79,5,0.3023704,0.1,0.21955222,6.3548903,0.20010811,0.10186106,19.22934,-6.9338865,18.101433,-4.5214505
1,80,5,0.31135708,0.1,0.21955222,6.3148813,0.21004708,0.10476331,19.597538,-6.8857527,17.798258,-4.369219
2,1,7,0.33850744,0.07,0.19637011,5.548373,0.17507431,0.0106257545,18.301365,-5.572903,27.382607,-18.183304
2,2,7,0.34396887,0.07,0.19637011,5.6058903,0.19213343,0.016582709,18.541939,-5.5731707,27.581959,-18.151028
2,3,7,0.3481792,0.07,0.19637011,5.7617207,0.17899288,0.015393459,18.651329,-5.7248864,27.31102,-18.327627
2,4,7,0.3234902,0.07,0.19637011,5.06579,0.17905498,0.0118266195,17.821905,-4.8516026,27.074142,-18.187178
2,5,7,0.34331277,0.07,0.20272893,2.7161486,0.19842026,0.027527833,18.062698,2.9296646,30.109253,-22.603481
2,6,7,0.32382774,0.07,0.20272893,3.140529,0.18536876,0.015727695,17.419985,3.8496032,29.873068,-22.714008
2,7,7,0.3362647,0.07,0.20272893,2.8057415,0.20480566,0.025171762,18.020021,3.2556396,29.614439,-22.283108
2,8,7,0.32663304,0.07,0.20272893,2.886257,0.18431203,0.018460141,17.598722,3.359789,29.46004,-22.3973
